id,location_name,sector,subsector,pollutant,emissions_quantity_tonnes,latitude,longitude,year
1377071,Bukanga County,buildings,residential-onsite-fuel-usage,pm2_5,785.65,-0.835,31.0016,2024
1377075,Kazo County,buildings,residential-onsite-fuel-usage,pm2_5,785.42,0.0273,30.7515,2024
1377123,Kasilo County,buildings,residential-onsite-fuel-usage,pm2_5,785.29,1.5066,33.2256,2025
1377119,Mawogola County,buildings,residential-onsite-fuel-usage,pm2_5,778.3,-0.066,31.4185,2025
1376992,Nwoya County,buildings,residential-onsite-fuel-usage,pm2_5,773.82,2.5286,31.8709,2025
1376977,Maracha County,buildings,residential-onsite-fuel-usage,pm2_5,771.95,3.2478,30.9256,2025
1377088,Buwekula County,buildings,residential-onsite-fuel-usage,pm2_5,771.61,0.5168,31.4108,2026
1377051,Kyoga County,buildings,residential-onsite-fuel-usage,pm2_5,769.3,1.6393,32.7859,2024
1377042,Bukedea County,buildings,residential-onsite-fuel-usage,pm2_5,766.87,1.3721,34.1414,2024
1377050,Erute County,buildings,residential-onsite-fuel-usage,pm2_5,764.64,2.335,32.9387,2026
1377053,Moroto County,buildings,residential-onsite-fuel-usage,pm2_5,764.34,2.2694,33.3212,2026
1376977,Maracha County,buildings,residential-onsite-fuel-usage,pm2_5,763.81,3.2478,30.9256,2024
1377046,Mwenge County,buildings,residential-onsite-fuel-usage,pm2_5,763.27,0.6456,30.6585,2026
1377005,Rubanda County,buildings,residential-onsite-fuel-usage,pm2_5,756.9,-1.2088,29.8883,2024
1377010,Kaberamaido County,buildings,residential-onsite-fuel-usage,pm2_5,756.45,1.6881,33.1164,2025
1377119,Mawogola County,buildings,residential-onsite-fuel-usage,pm2_5,749.54,-0.066,31.4185,2024
1377077,Nyabushozi County,buildings,residential-onsite-fuel-usage,pm2_5,744.17,-0.3243,30.8724,2025
1377123,Kasilo County,buildings,residential-onsite-fuel-usage,pm2_5,744.03,1.5066,33.2256,2024
1377060,Kalungu County,buildings,residential-onsite-fuel-usage,pm2_5,740.61,-0.097,31.8139,2025
1376989,Aswa County,buildings,residential-onsite-fuel-usage,pm2_5,738.69,3.0366,32.3795,2025
1376988,Samia-Bugwe County,buildings,residential-onsite-fuel-usage,pm2_5,737.17,0.4079,34.0146,2026
1376992,Nwoya County,buildings,residential-onsite-fuel-usage,pm2_5,728.85,2.5286,31.8709,2024
1377008,Burahya County,buildings,residential-onsite-fuel-usage,pm2_5,722.92,0.6242,30.1871,2025
1377027,Amuria County,buildings,residential-onsite-fuel-usage,pm2_5,722.8,1.9835,33.7075,2026
1377060,Kalungu County,buildings,residential-onsite-fuel-usage,pm2_5,713.3,-0.097,31.8139,2024
1377077,Nyabushozi County,buildings,residential-onsite-fuel-usage,pm2_5,709.02,-0.3243,30.8724,2024
1377010,Kaberamaido County,buildings,residential-onsite-fuel-usage,pm2_5,708.24,1.6881,33.1164,2024
1377008,Burahya County,buildings,residential-onsite-fuel-usage,pm2_5,707.66,0.6242,30.1871,2024
1376989,Aswa County,buildings,residential-onsite-fuel-usage,pm2_5,703.0,3.0366,32.3795,2024
1377004,Ndorwa County,buildings,residential-onsite-fuel-usage,pm2_5,702.69,-1.3346,30.036,2025
1377078,Rwampara County,buildings,residential-onsite-fuel-usage,pm2_5,695.25,-0.7152,30.4897,2025
1377045,Kyaka County,buildings,residential-onsite-fuel-usage,pm2_5,692.35,0.4832,31.0007,2026
1377054,Otuke County,buildings,residential-onsite-fuel-usage,pm2_5,689.17,2.479,33.3935,2025
1377026,Busongora County,buildings,residential-onsite-fuel-usage,pm2_5,683.04,0.1386,30.1383,2026
1377098,Buruli County,buildings,residential-onsite-fuel-usage,pm2_5,682.8,1.3206,32.4893,2025
1377004,Ndorwa County,buildings,residential-onsite-fuel-usage,pm2_5,668.05,-1.3346,30.036,2024
1377078,Rwampara County,buildings,residential-onsite-fuel-usage,pm2_5,664.5,-0.7152,30.4897,2024
1376976,Madi-Okollo County,buildings,residential-onsite-fuel-usage,pm2_5,660.41,2.868,31.2382,2025
1377098,Buruli County,buildings,residential-onsite-fuel-usage,pm2_5,652.73,1.3206,32.4893,2024
1377054,Otuke County,buildings,residential-onsite-fuel-usage,pm2_5,651.25,2.479,33.3935,2024
1377111,Pallisa County,buildings,residential-onsite-fuel-usage,pm2_5,641.77,1.22,33.6234,2025
1377020,Kitagwenda County,buildings,residential-onsite-fuel-usage,pm2_5,640.65,-0.0074,30.3122,2025
1376997,Busiki County,buildings,residential-onsite-fuel-usage,pm2_5,639.08,0.8897,33.6656,2025
1377028,Kapelebyong County,buildings,residential-onsite-fuel-usage,pm2_5,634.66,2.1976,33.7772,2025
1376976,Madi-Okollo County,buildings,residential-onsite-fuel-usage,pm2_5,632.05,2.868,31.2382,2024
1377057,Nakaseke County,buildings,residential-onsite-fuel-usage,pm2_5,630.16,1.003,32.1759,2025
1376979,Vurra County,buildings,residential-onsite-fuel-usage,pm2_5,629.14,2.8372,30.9597,2025
1377111,Pallisa County,buildings,residential-onsite-fuel-usage,pm2_5,628.21,1.22,33.6234,2024
1376994,Bugahya County,buildings,residential-onsite-fuel-usage,pm2_5,626.34,1.5331,31.2461,2026
1377058,Bukomansimbi County,buildings,residential-onsite-fuel-usage,pm2_5,626.06,-0.1262,31.6228,2025
1376997,Busiki County,buildings,residential-onsite-fuel-usage,pm2_5,615.08,0.8897,33.6656,2024
1377129,Tororo County,buildings,residential-onsite-fuel-usage,pm2_5,611.21,0.7445,34.2472,2025
1376979,Vurra County,buildings,residential-onsite-fuel-usage,pm2_5,610.21,2.8372,30.9597,2024
1377020,Kitagwenda County,buildings,residential-onsite-fuel-usage,pm2_5,608.48,-0.0074,30.3122,2024
1377085,Gomba County,buildings,residential-onsite-fuel-usage,pm2_5,606.49,0.2055,31.7367,2025
1377057,Nakaseke County,buildings,residential-onsite-fuel-usage,pm2_5,606.22,1.003,32.1759,2024
1377058,Bukomansimbi County,buildings,residential-onsite-fuel-usage,pm2_5,602.63,-0.1262,31.6228,2024
1377017,Bulamogi County,buildings,residential-onsite-fuel-usage,pm2_5,600.63,1.0827,33.4814,2025
1377028,Kapelebyong County,buildings,residential-onsite-fuel-usage,pm2_5,598.66,2.1976,33.7772,2024
1377117,Rubabo County,buildings,residential-onsite-fuel-usage,pm2_5,597.95,-0.9153,29.9487,2025
1377038,Lamwo County,buildings,residential-onsite-fuel-usage,pm2_5,596.13,3.5251,32.657,2025
1377021,Kinkiizi County,buildings,residential-onsite-fuel-usage,pm2_5,592.85,-0.7462,29.7243,2026
1377129,Tororo County,buildings,residential-onsite-fuel-usage,pm2_5,590.69,0.7445,34.2472,2024
1376983,Buhweju County,buildings,residential-onsite-fuel-usage,pm2_5,588.28,-0.3201,30.3884,2025
1377064,Buruli County,buildings,residential-onsite-fuel-usage,pm2_5,587.39,1.6919,31.7738,2025
1377017,Bulamogi County,buildings,residential-onsite-fuel-usage,pm2_5,584.14,1.0827,33.4814,2024
1377019,Kibale County,buildings,residential-onsite-fuel-usage,pm2_5,583.19,0.309,30.6093,2026
1377085,Gomba County,buildings,residential-onsite-fuel-usage,pm2_5,579.19,0.2055,31.7367,2024
1376990,Gulu County,buildings,residential-onsite-fuel-usage,pm2_5,571.92,2.7841,32.2859,2025
1377117,Rubabo County,buildings,residential-onsite-fuel-usage,pm2_5,570.75,-0.9153,29.9487,2024
1377038,Lamwo County,buildings,residential-onsite-fuel-usage,pm2_5,569.81,3.5251,32.657,2024
1376990,Gulu County,buildings,residential-onsite-fuel-usage,pm2_5,568.62,2.7841,32.2859,2024
1377034,Buyanja County,buildings,residential-onsite-fuel-usage,pm2_5,567.7,0.824,31.0256,2025
1377055,Bamunanika County,buildings,residential-onsite-fuel-usage,pm2_5,566.75,0.8529,32.7005,2025
1377114,Kooki County,buildings,residential-onsite-fuel-usage,pm2_5,565.32,-0.6871,31.3193,2026
1377015,Budiope County,buildings,residential-onsite-fuel-usage,pm2_5,564.34,1.2356,33.1704,2026
1376974,Ayivu County,buildings,residential-onsite-fuel-usage,pm2_5,564.3,3.0509,30.8914,2026
1377064,Buruli County,buildings,residential-onsite-fuel-usage,pm2_5,559.94,1.6919,31.7738,2024
1377105,Agago County,buildings,residential-onsite-fuel-usage,pm2_5,558.18,2.9479,33.3861,2026
1567100,Tembo Steels Iganga plant,manufacturing,iron-and-steel,pm2_5,554.96,0.6155,33.458,2026
1376983,Buhweju County,buildings,residential-onsite-fuel-usage,pm2_5,553.7,-0.3201,30.3884,2024
1376970,Kwania County,buildings,residential-onsite-fuel-usage,pm2_5,548.88,1.8865,32.7679,2026
1376978,Terego County,buildings,residential-onsite-fuel-usage,pm2_5,547.33,3.1847,31.1923,2026
1377055,Bamunanika County,buildings,residential-onsite-fuel-usage,pm2_5,545.53,0.8529,32.7005,2024
1376969,Kole County,buildings,residential-onsite-fuel-usage,pm2_5,541.83,2.3017,32.7356,2026
