headword,pos,definition,clarifier,example_runyankore,example_english,section
amahenengye,n,fatigue or extreme tiredness caused by long distance travel.,,,,A
amahigikirizo,n,,,,,A
amahigikizo,n,,,,,A
amahiima,n,illness that causes difficulty in breathing.,asthma,,,A
amahiirane,n,large homestead with many huts and gates all around.,,"Amaju gahikaine munonga. emwe ku eri kusya, goona nigabaasa kusya ahabw'okuba gahikaine munonga.","If one house gets burnt, it is likely that all of them will get burn because houses are close to one another.",A
amahiisa-nyungu,n,a conversation meant to pass time.,,,,A
amahira,n,a thick yellow liquid that forms in flesh that has infection.,pus,,,A
amahiri,n,stems that are thrown at things.,,Ninkuteera amahiiri waaguma nonteganisa.,I will throw stems at you when you keep on disturbing me.,A
amahoro,n,food that has stayed over night.,cold food,Ebyokurya ebi twarya byaba biri amahoro.,We ate cold food.,A
amahunde,n,a circle of flowers or leaves worn on the head especially as a sign of victory or as an award.,crown,,,A
amahunde,n,a garland made of gold and decorated with jewels worn by kings and queens on the head.,,,,A
amahungu,n,a feeling of great sadness usually associated with the death of someone.,"sorrow, misery",,,A
amahurire,n,news.,,,,A
amahurire,n,newspaper.,,,,A
amahurunguru,n,solid waste of animals especially goats and sheep.,droppings,,,A
amaija,n,a four week period before Christmas day.,advent,,,A
amaijuza,n,pregnancy at nine months.,,,,A
amaiko,n,a very strong feeling of dislike.,hatred,,,A
amaimante,n,water left after watering cattle.,,,,A
amaimante,adv,refers to the way a man ties a piece of cloth around his waist when he wants to fight.,,,,A
amainamura,n,something given to a person on his or her death bed.,,,,A
amainamura,n,special water used by witchdoctors.,,,,A
amainaro,n,bad omen.,,,,A
amainaro,n,bad luck.,,,,A
amairu,n,a strong urge to eat more meat.,greed,,,A
amairu,n,sores behind the ear.,,,,A
amairungi,n,the leaves of a shrub commonly chewed as an aphrodisiac or stimulant.,khat,,,A
amaisho,n,a chronic contagious viral disease marked by inflammation of the conjunctiva and cornea of the eye and the formation of scar tissue.,trachoma,,,A
amaizi,n,the clear liquid used for drinking and washing.,water,,,A
amaizi,n,sperms.,,,,A
amajugo,n,"attractive and decorative objects that are worn on the ankles, arms, etc.",ornament,,,A
amajuta,n,a thick oily substance used on dry skin.,vaseline,,,A
amajuta,n,butter made out of milk.,ghee,,,A
amajuta,n,a liquid used as fuel for cars and other vehicles.,fuel,,,A
amakamo,n,yorghut.,,,,A
amakanda,n,the state of being fully established.,firmness,,,A
amakankya,n,a sticky substance from some plants.,gum,,,A
amakara,n,"a black substance made from burnt wood used as fuel, especially for cooking.",charcoal,,,A
amakarangira,n,shedding crocodile tears.,,,,A
amakatyo,n,first leaves of beans.,,,,A
amakire,n,a disease believed to affect unborn babies when a pregnant woman has sexual intercourse with a man.,,,,A
amakondere,n,insects with beautiful voices.,,,,A
amakoora,n,fish scales.,,,,A
amakoora,n,,,,,A
amakore,n,a disease in cattle that attacks joints.,,,,A
amakoro,n,,,,,A
amakoryo,n,tender leaves of peas when they are cooked and eaten as source.,,,,A
amakumi,n,a game played by bouncing a ball on the knee.,,,,A
amakumi,n,animals of the same kind that live and feed together.,herd,,,A
amakune,n,hospitality.,,,,A
amakuru,n,new information about specific and timely events.,news,,,A
amakuru g'omukama,n,the king's food (in Ankole).,,,,A
Amakuru Marungi,n,the first four books of the New Testament.,the Gospel,,,A
amakuuta,n,undiluted banana juice.,,,,A
amakuute,n,neighbouring countries.,,,,A
amakwatane,n,shared holdings.,,,,A
amakwatane,n,communal property.,,,,A
amakwenkwe,n,a hearty laugh.,,,,A
amakyandara,n,sunflower.,,,,A
amakyeka,n,,,,,A
amamburinga,n,swelling of lymph nodes.,mumps,,,A
amamera,n,,,,,A
amamera,n,germinated plants.,,,,A
amamesha,n,kind of ghee commonly used in Rwanda.,,,,A
amamya,n,germinated millet or sorghum used to sweeten porridge.,,,,A
amanana,n,stiffness or aching of the limbs.,,,,A
amanegye,n,"two round organs that produce sperms in a male, enclosed in a bag of skin behind and below the penis.",testicles,,,A
amangigina,n,sensitivity of teeth.,,,,A
amangigina,n,chilly feeling in gums (mouth or teeth) after eating raw fruits.,,,,A
amanure,n,water that contains salt or tastes salty.,salty water,,,A
amanyaanya,n,pelvic bones,pelvic bones,,,A
amanyaari,n,,,,,A
amanzamba,n,horns of a cow facing down.,,,,A
amara,n,the lower part of the alimentary canal from the stomach to the anus.,intestines,,,A
amaragane,n,time to say goodbye.,,,,A
amaragane,n,any word or phrase uttered to bid someone farewell.,,,,A
amaraka,n,part of the body that connects the head and the shoulder.,,,,A
amaraka,n,sound made when speaking or singing.,,,,A
amaraka,n,musical tones.,,,,A
amaraka,n,front part of the neck.,throat,,,A
amaraka,n,the narrow part of the bottle.,,,,A
amaranga,n,water that has been used for washing milk pots.,,,,A
amaranzi,n,rays of the sun.,,,,A
amarari,n,"a condition that affectes eye muscles, making each eye look in a different direction.",squint,,,A
amarari,n,to be cross eyed.,,,,A
amari,n,a pest that destroys plants.,,,,A
amaringa-ngingo,adj,sweating profusely.,,,,A
amaringaringo,n,,,,,A
amaringo,n,,,,,A
amaringoringo,n,acts or objects used to attract attension.,,,,A
amarira,n,a drop of liquid that comes from eyes when crying.,tears,,,A
amarira ga Yubu,n,type of beads.,,,,A
amaruhuura-ngingo,n,water;cold water.,,,,A
amarwa,n,a local brew made of farmented millet.,a drink,,,A
amaryo,n,a feeling of arrogance or self-conceit.,pride,,,A
amasaza,n,,,,,A
amasha,n,solid waste material from the bowels of cows.,dung,,,A
amashaaruura,n,what has been harvested.,harvest,,,A
amashaaruura,n,period of harvesting.,haversting season,,,A
amashambangira,n,,,,,A
amashansha,n,dry banana leaves.,,,,A
amashansha,n,"something that is torn, frayed or shredded.",,,,A
amashanyarazi,n,electricity.,,,,A
amashanyu,n,,,,,A
amashararazi,n,fruits that turn yellow when ripe.,fruit,,,A
amashaza,n,a leguminous plant of the genus Pisum with small white flowers and long green pods containing edible green seeds.,peas,,,A
amashe,n,,,,,A
amashemererwa,n,hapiness or great joy.,,,,A
amashereka,n,breast milk.,,,,A
amashobe,n,a cat's dung.,,Naashanga amashobe g'enjangu omu kitara.,I have found cat's dung in the granary.,A
amashokorindo,n,bird's droppings.,,,,A
amashununu,n,fresh milk.,,,,A
amashushane,n,uniform or similar things.,look alikes,,,A
amashuuma,n,situated in or facing or moving toward or coming from the south.,south,,,A
amashuyo,n,east coast fever.,cattle disease,,,A
amashuyu,n,,,,,A
amasiiba,n,a big congregation or audience at music performance.,,,,A
amasiko,n,,,,,A
amasya,n,burns.,,Omwana aine amasya aha mukono.,The child has burns on the arm.,A
amasyosyo,n,hot water.,,,,A
amataane,n,a road junction.,,Tubugane aha mataane.,Let us meet at the junction.,A
amatanta,n,having high opinion of oneself.,pride,Naagambisa amatanta.,He speaks with pride.,A
amate,n,a white liquid produced by mammary glands of female animals for feeding their young ones.,milk,,,A
amate,n,thick white sap produced by some plants.,,Amate g'enkukuuru.,White sap produced by a cactus tree.,A
amatehe,n,a type of Irish potatoes.,,,,A
amatehe,n,wild fruits.,,,,A
amatemba,n,situated in or facing or moving toward or coming from the north.,north,,,A
amatembane,n,a child or young of closely related parents.,,,,A
amatembezo,n,"steps, or staircases.",,,,A
amaterekyero,n,shelves.,,Ta ebyo bitabo omu materekyero.,Put those books in the shelves.,A
amatojo,n,"a plant that has thorns on the leaves and is liked by gaots, sheep, etc.",,,,A
amatojo,n,a disease of chicken.,,,,A
amatone,n,dots or spots.,,,,A
amatonto,n,,,,,A
amatontori,n,,,,,A
amatotoro,n,bird droppings.,,,,A
amatsiko,n,the general feeling that some desire will be fulfilled.,hope,,,A
amatsinde,n,clods of soil upturned by a hoe.,,,,A
amatu g'abakaikuru,n,big and soft fungal plant which usually grows on rotten trees.,mushrooms,,,A
amatungo,n,domestic animals kept for use or profit.,livestock,,,A
amatunguru,n,swamp plants with red rhizomes which are used as food.,,,,A
amatunguru,n,the red fruits produced by these plants.,,,,A
amatwengye,n,inner feeling someone gets when he or she is delighted.,,,,A
amawuwa,n,a type of maize grain with small ears and kernels that burst when exposed to dry heat.,popcorns,,,A
amayangi,n,identical twins.,,,,A
amayasha,n,part of the body between the thigh and sexual organs.,groin,,,A
amayengo,n,measured heaps of things.,,,,A
amayengo,n,waves on water bodies.,,,,A
amayengo,n,hair making style especially of ladies.,,,,A
amayenje,n,white patches on a cow.,,,,A
amayombera,n,musical ornaments made out of metals which are tied to the legs when dancing.,ankle bells,,,A
amayonjo,n,the part of the body between the top of each arm and the neck.,over-arched shoulders,,,A
amayonza,n,a wild fruit with milky juice.,wild fruits,,,A
amazaarwa,n,a day of the year when one is born.,birthday,,,A
amazi,n,human or animal excreta.,faeces,,,A
amaziga,n,salty water that comes from the eyes when one cries.,tears,,,A
amaziika,n,money donated to the bereaved family.,,,,A
amaziika,n,tribute.,,,,A
amaziika,n,process of burial.,,,,A
amazima,n,state of being true.,truth,,,A
amazina,n,dancing styles.,,,,A
amazomba,n,an infectious skin disease that produces round red spots on the human body.,ring worms,,,A
ameehangye,n,forcing oneself to do something that is too difficult for one to accomplish.,,,,A
ameehangye,n,too much confidence.,,,,A
ameinaro,n,,,,,A
amiina,,the act of communicating with a deity (especially as a petition or in adoration or contrition or thanksgiving).,amen,,,A
amoogi,n,,,,,A
amooya,n,the light horny waterproof structure forming the external covering of birds.,feathers,,,A
Ankole,n,"A name that combines the Soth-western districts of Bushenyi, Mbarara, Ntungamo, Ibanda, Kiruhuura and Isingiro in Uganda.",,,,A
apaana,n,a negative response.,no,,,A
arifu,n,a set of letters in a fixed order.,alphabet,,,A
arimansi,n,precious stone.,,,,A
arubamu,n,a book for keeping photos.,,,,A
arubamu,n,a collection of songs compiled or composed by an artist.,,,,A
Ashensiyo,n,"a christian holy day on the Thursday after 40 days from Easter day, when christians celebrate Jesus' ascent to heaven.",Ascension Day,,,A
ashwihi,n,a negative response.,no,,,A
ashwiriri,int,,,,,A
asidi,n,"a combination of corrosove chemicals used in laboratory, which can burn when exposed to the human body.",acid,,,A
atyo,adv,like that.,,,,A
atyo,adv,then.,,,,A
awihi,int,,,,,A
baaburangahi,n,a person who likes going to parties.,,,,B
baamwana,n,parents of the bride and bridegroom.,,,,B
baasi,n,a big vehicle that transports passangers.,bus,,,B
baazina,n,namesake.,,,,B
Bagyendanwa,n,the largest drum in the royal palace in Ankole used for ceremonial purposes.,royal drum,,,B
bahungu,n,short curved hairs growing on the upper eye lid.,eyelashes,,,B
Baiburi,n,the sacred writings of the Christian religions.,Bible,,,B
baitu,conj,a word that introduces something in contrast or unexpected.,but,,,B
bakihuuta,n,someone who is annoying because he or she talks too much in an offensive way.,a person who does things quickly especially in talking,,,B
bambe,adj,a word used to express pitty and sympathy for someone's misfortune.,,,,B
banda,n,a group of musicians who play popular music together.,,,,B
banka,n,an institution that keeps money.,bank,,,B
baro,n,a man to whom a woman is married.,your husband,,,B
bbiringanya,n,a big oval purple fruit or vegetable.,egg plant,,,B
bendera,n,,,,,B
-bi,adj,adjectival root which means having undesirable or negative qualities.,bad,,,B
bibiri,,,,,,B
bigahwa,adj,faillure to obtain or achieve what one wanted.,empty handed,,,B
biguru-by'empitsi,adv,done or occurring quickly.,speedy,,,B
bihogo,n,a uniformly dark brown cow.,,,,B
biika-oguze,n,organised groups of people that save and give credit to their members on small interest rates.,savings and credit institution,,,B
biizi-bitootsya,n,meat of a sheep.,,,,B
binkwatiireki,adv,doing something carelessly.,,,,B
binzaari,n,orange colour.,,,,B
birindi,adv,the state of someone when he or she is drunk.,,,,B
birundura,n,a dog-like scavenger with the front leg longer than the hind ones.,hyena,,,B
Biruuru,n,the first month of the year.,January,,,B
bishatu,n,,,,,B
bishunga,n,"a cow with very white horns, horns.",,,,B
bitaano,n,,,,,B
bituri-bingi,n,"a tool with many holes, which is used to grip and turn nuts or bolts.",,,,B
biya,n,a drink made out of sorghum or barley.,alcohol,,,B
bo,pron,the people mentioned earlier.,them,,,B
bogoya,n,a type of banana eaten when ripe.,banana fruit,,,B
bombi,pron,used to refer to two people.,both,,,B
bombiri,pron,,,,,B
bonka,adj,on their own.,only them,,,B
bonshatu,adj,three of them.,,,,B
bontaano,pron,five of them.,,,,B
booda-booda,n,bicycle or motorcycle taxi.,,,,B
boodingi,n,,,,,B
boodingi,n,a secondary or primary school which often has accomodation facilities for students.,,,,B
booma,n,government ground or station.,,,,B
boona,adj,a word used to mean 'all the people'.,,,,B
boona-bashome,n,a government program aimed at provoding free education to all.,,,,B
boote-boote,adj,a very old person.,senile,,,B
bucunku,n,a type of banana with small clusters.,,,,B
bucura,n,a child born last in a family.,last born,Macura waitu n'omwojo.,Our last born is a boy.,B
bucuracuriro,n,,,,,B
bucuranda,n,,,,,B
bucuzi,adv,upside down.,,,,B
bucwekye,adv,to become destitute.,to be left with nothing,,,B
bucwekye,adv,to talk using bad language.,,,,B
bufunyankobe,n,African edible root tuber of sweet potato variety. Ipomea batatas.,,,,B
