date,region,district,market_name,commodity,unit,price_type,price_ugx,price_usd
2024-05-15,Busia,Samia-bugwe,Busia,Beans,KG,Retail,3580.0,0.95
2024-05-15,Busia,Samia-bugwe,Busia,Cassava flour,KG,Retail,780.0,0.21
2024-05-15,Kabarole,Fort Portal Municipality,Fort Portal,Beans,KG,Retail,4500.0,1.2
2024-05-15,Kabarole,Fort Portal Municipality,Fort Portal,Cassava flour,KG,Retail,2000.0,0.53
2024-05-15,Gulu,Gulu Municipality,Gulu,Beans,KG,Retail,5450.0,1.45
2024-05-15,Gulu,Gulu Municipality,Gulu,Cassava flour,KG,Retail,4000.0,1.06
2024-05-15,Jinja,Jinja Municipality,Jinja,Beans,KG,Retail,5000.0,1.33
2024-05-15,Jinja,Jinja Municipality,Jinja,Cassava flour,KG,Retail,1600.0,0.43
2024-05-15,Mbarara,Mbarara Municipality,Mbarara,Beans,KG,Retail,4000.0,1.06
2024-05-15,Mbarara,Mbarara Municipality,Mbarara,Cassava flour,KG,Retail,2500.0,0.66
2024-05-15,Kampala,Central Kampala,Owino,Beans,KG,Retail,4620.0,1.23
2024-05-15,Kampala,Central Kampala,Owino,Cassava flour,KG,Retail,1800.0,0.48
2024-06-15,Arua,Arua Municipality,Arua,Beans,KG,Retail,3800.0,1.02
2024-06-15,Arua,Arua Municipality,Arua,Cassava flour,KG,Retail,1500.0,0.4
2024-06-15,Busia,Samia-bugwe,Busia,Beans,KG,Retail,3480.0,0.94
2024-06-15,Busia,Samia-bugwe,Busia,Cassava flour,KG,Retail,740.0,0.2
2024-06-15,Kabarole,Fort Portal Municipality,Fort Portal,Beans,KG,Retail,4375.0,1.18
2024-06-15,Kabarole,Fort Portal Municipality,Fort Portal,Cassava flour,KG,Retail,2000.0,0.54
2024-06-15,Gulu,Gulu Municipality,Gulu,Beans,KG,Retail,5113.0,1.38
2024-06-15,Gulu,Gulu Municipality,Gulu,Cassava flour,KG,Retail,4000.0,1.08
2024-06-15,Jinja,Jinja Municipality,Jinja,Beans,KG,Retail,4625.0,1.25
2024-06-15,Jinja,Jinja Municipality,Jinja,Cassava flour,KG,Retail,1300.0,0.35
2024-06-15,Mbarara,Mbarara Municipality,Mbarara,Beans,KG,Retail,4000.0,1.08
2024-06-15,Mbarara,Mbarara Municipality,Mbarara,Cassava flour,KG,Retail,2500.0,0.67
2024-06-15,Kampala,Central Kampala,Owino,Beans,KG,Retail,4375.0,1.18
2024-06-15,Kampala,Central Kampala,Owino,Cassava flour,KG,Retail,1650.0,0.44
2024-07-15,Arua,Arua Municipality,Arua,Beans,KG,Retail,3500.0,0.95
2024-07-15,Arua,Arua Municipality,Arua,Cassava flour,KG,Retail,1500.0,0.41
2024-07-15,Busia,Samia-bugwe,Busia,Beans,KG,Retail,3480.0,0.94
2024-07-15,Busia,Samia-bugwe,Busia,Cassava flour,KG,Retail,830.0,0.22
2024-07-15,Kabarole,Fort Portal Municipality,Fort Portal,Beans,KG,Retail,4500.0,1.22
2024-07-15,Kabarole,Fort Portal Municipality,Fort Portal,Cassava flour,KG,Retail,2000.0,0.54
2024-07-15,Gulu,Gulu Municipality,Gulu,Beans,KG,Retail,4914.0,1.33
2024-07-15,Gulu,Gulu Municipality,Gulu,Cassava flour,KG,Retail,4000.0,1.08
2024-07-15,Jinja,Jinja Municipality,Jinja,Beans,KG,Retail,4500.0,1.22
2024-07-15,Jinja,Jinja Municipality,Jinja,Cassava flour,KG,Retail,1300.0,0.35
2024-07-15,Mbarara,Mbarara Municipality,Mbarara,Beans,KG,Retail,4000.0,1.08
2024-07-15,Mbarara,Mbarara Municipality,Mbarara,Cassava flour,KG,Retail,2500.0,0.68
2024-07-15,Kampala,Central Kampala,Owino,Beans,KG,Retail,4375.0,1.18
2024-07-15,Kampala,Central Kampala,Owino,Cassava flour,KG,Retail,1500.0,0.41
2024-08-15,Arua,Arua Municipality,Arua,Beans,KG,Retail,3600.0,0.96
2024-08-15,Arua,Arua Municipality,Arua,Cassava flour,KG,Retail,1500.0,0.4
2024-08-15,Busia,Samia-bugwe,Busia,Beans,KG,Retail,3511.0,0.94
2024-08-15,Busia,Samia-bugwe,Busia,Cassava flour,KG,Retail,817.0,0.22
2024-08-15,Kabarole,Fort Portal Municipality,Fort Portal,Beans,KG,Retail,4500.0,1.2
2024-08-15,Kabarole,Fort Portal Municipality,Fort Portal,Cassava flour,KG,Retail,1722.0,0.46
2024-08-15,Gulu,Gulu Municipality,Gulu,Beans,KG,Retail,4875.0,1.3
2024-08-15,Gulu,Gulu Municipality,Gulu,Cassava flour,KG,Retail,4000.0,1.07
2024-08-15,Jinja,Jinja Municipality,Jinja,Beans,KG,Retail,4500.0,1.2
2024-08-15,Jinja,Jinja Municipality,Jinja,Cassava flour,KG,Retail,1322.0,0.35
2024-08-15,Mbarara,Mbarara Municipality,Mbarara,Beans,KG,Retail,4278.0,1.14
2024-08-15,Mbarara,Mbarara Municipality,Mbarara,Cassava flour,KG,Retail,2500.0,0.67
2024-08-15,Kampala,Central Kampala,Owino,Beans,KG,Retail,4222.0,1.13
2024-08-15,Kampala,Central Kampala,Owino,Cassava flour,KG,Retail,1567.0,0.42
2024-09-15,Arua,Arua Municipality,Arua,Beans,KG,Retail,2800.0,0.75
2024-09-15,Arua,Arua Municipality,Arua,Cassava flour,KG,Retail,1500.0,0.4
2024-09-15,Busia,Samia-bugwe,Busia,Beans,KG,Retail,3575.0,0.96
2024-09-15,Busia,Samia-bugwe,Busia,Cassava flour,KG,Retail,800.0,0.22
2024-09-15,Kabarole,Fort Portal Municipality,Fort Portal,Beans,KG,Retail,4500.0,1.21
2024-09-15,Kabarole,Fort Portal Municipality,Fort Portal,Cassava flour,KG,Retail,1400.0,0.38
2024-09-15,Gulu,Gulu Municipality,Gulu,Beans,KG,Retail,5433.0,1.46
2024-09-15,Gulu,Gulu Municipality,Gulu,Cassava flour,KG,Retail,4000.0,1.08
2024-09-15,Jinja,Jinja Municipality,Jinja,Beans,KG,Retail,5000.0,1.35
2024-09-15,Jinja,Jinja Municipality,Jinja,Cassava flour,KG,Retail,1475.0,0.4
2024-09-15,Mbarara,Mbarara Municipality,Mbarara,Beans,KG,Retail,4875.0,1.31
2024-09-15,Mbarara,Mbarara Municipality,Mbarara,Cassava flour,KG,Retail,2500.0,0.67
2024-09-15,Kampala,Central Kampala,Owino,Beans,KG,Retail,4500.0,1.21
2024-09-15,Kampala,Central Kampala,Owino,Cassava flour,KG,Retail,1575.0,0.42
2024-10-15,Arua,Arua Municipality,Arua,Beans,KG,Retail,3800.0,1.04
2024-10-15,Arua,Arua Municipality,Arua,Cassava flour,KG,Retail,1000.0,0.27
2024-10-15,Busia,Samia-bugwe,Busia,Beans,KG,Retail,3160.0,0.86
2024-10-15,Busia,Samia-bugwe,Busia,Cassava flour,KG,Retail,840.0,0.23
2024-10-15,Kabarole,Fort Portal Municipality,Fort Portal,Beans,KG,Retail,4500.0,1.23
2024-10-15,Kabarole,Fort Portal Municipality,Fort Portal,Cassava flour,KG,Retail,1400.0,0.38
2024-10-15,Gulu,Gulu Municipality,Gulu,Beans,KG,Retail,4883.0,1.33
2024-10-15,Gulu,Gulu Municipality,Gulu,Cassava flour,KG,Retail,4083.0,1.11
2024-10-15,Jinja,Jinja Municipality,Jinja,Beans,KG,Retail,4750.0,1.29
2024-10-15,Jinja,Jinja Municipality,Jinja,Cassava flour,KG,Retail,1450.0,0.4
2024-10-15,Mbarara,Mbarara Municipality,Mbarara,Beans,KG,Retail,5000.0,1.36
2024-10-15,Mbarara,Mbarara Municipality,Mbarara,Cassava flour,KG,Retail,2500.0,0.68
2024-10-15,Kampala,Central Kampala,Owino,Beans,KG,Retail,4500.0,1.23
2024-10-15,Kampala,Central Kampala,Owino,Cassava flour,KG,Retail,1650.0,0.45
2024-11-15,Arua,Arua Municipality,Arua,Beans,KG,Retail,3500.0,0.95
2024-11-15,Arua,Arua Municipality,Arua,Cassava flour,KG,Retail,1500.0,0.41
2024-11-15,Busia,Samia-bugwe,Busia,Beans,KG,Retail,2850.0,0.78
2024-11-15,Busia,Samia-bugwe,Busia,Cassava flour,KG,Retail,800.0,0.22
2024-11-15,Kabarole,Fort Portal Municipality,Fort Portal,Beans,KG,Retail,4500.0,1.23
2024-11-15,Kabarole,Fort Portal Municipality,Fort Portal,Cassava flour,KG,Retail,1500.0,0.41
2024-11-15,Gulu,Gulu Municipality,Gulu,Beans,KG,Retail,4000.0,1.09
2024-11-15,Gulu,Gulu Municipality,Gulu,Cassava flour,KG,Retail,4500.0,1.23
2024-11-15,Jinja,Jinja Municipality,Jinja,Beans,KG,Retail,4500.0,1.23
